id_str,from_user,text,created_at,time,in_reply_to_user_id,user_followers_count,friends_count
1249352932316741632,grintimatca,@BadmintonTalk SUPER SUPER GA NYANGKAAAAAAA EMANG PASANGAN INI KOMPAK BANGET SIII. JUARA SEAGAMES DAN FINAL S500😭😭😭😭😭🫶🏻🫶🏻🫶🏻🫶🏻,2022-06-11 09:28:14,2022-06-12 14:16:21,2941773157,16,28
1504896426366898180,dy_twit30,"gw kira sanz masih lanjutin midlane dia dari seagames kasihan juga ONIC, player jungler di buat mid kan jadi g stabil insting jungler dia",2022-06-11 08:08:44,2022-06-12 14:16:21,,3,14
1279616189631655937,deppppppppppe,"seagames banyak pause
msc banyak pause

makin kesini malah mikir emg dari game nya yg aneh?🤔",2022-06-11 07:13:42,2022-06-12 14:16:21,,274,206
1473551943888891907,emiliajuntak,"RT @xixixixilian: Mereka sudah stagnan. Mumpung masih ada waktu sebelum kualifikasi paris 2024, kenapa ga coba untuk bongkar pasang dulu. W…",2022-06-11 07:01:02,2022-06-12 14:16:21,,30,242
242704195,AEPishere,"RT @xixixixilian: Mereka sudah stagnan. Mumpung masih ada waktu sebelum kualifikasi paris 2024, kenapa ga coba untuk bongkar pasang dulu. W…",2022-06-11 06:41:01,2022-06-12 14:16:21,,3150,5001
113597508,herDjanto,Halooo @VoliProLiga ..udh puas cuma juara seagames? Tetangga kita saat ini sdg ramai mengadakan dan mengikuti turna… https://t.co/0JfmLwUYGB,2022-06-11 04:42:11,2022-06-12 14:16:21,,213,885
68312201,deardocs,@hrdbacot pas masih kuliah aja kaleb udah masuk timnas seagames yg lain pemain pro dia doang yg anak kuliahan 😅,2022-06-11 04:06:01,2022-06-12 14:16:21,501800437,543,693
470120940,arurisaa_,Indo ikut VNL kek pbvsi gmn diem2 bae ih pdhl prestasi jg bagus di seagames,2022-06-11 01:20:08,2022-06-12 14:16:21,,1299,500
1107586019010871297,_cokkk,"gua 5 taun dah keknya, pas abis seagames hahaha

kalo bgi gua no 1 MD Indonesia ya Fajri
kalo MS nomor 1 ya Jojo https://t.co/UQ0AZ2Gry8",2022-06-11 01:13:05,2022-06-12 14:16:21,,964,931
1379224550550859777,blaxxney26,"RT @zzzzzzpai: dari ph kita belajar gausah banyak” pool hero yang penting nguasain, itu expnya main esme doang juara seagames buset 😭",2022-06-10 20:43:10,2022-06-12 14:16:21,,2745,1396
86311144,madrid_jkt58,"@AkbarLast2 @prasetya_arr @Fanura4 @mmfth_ setidaknya ada 2 trofi junior dan final sea games,better than sty yg 2 t… https://t.co/yh8rSjMpGs",2022-06-10 20:38:42,2022-06-12 14:16:21,1280908500453875712,53,144
1085525916883738629,itsca_8,@alfiansup @marmutgegoleran @dikanotfound @dan_kenapa @onigirisambal @ggaassddaapp @hrdbacot emang ikut seagames ngab?,2022-06-10 19:58:35,2022-06-12 14:16:21,98078331,136,377
1380553442704322562,AZhubek,RT @ListyoSigitP: Saya berharap torehan prestasi 15 altet Polri ini dapat menjadi contoh bagi seluruh personel kepolisian untuk memberikan…,2022-06-10 16:48:00,2022-06-12 14:16:21,,8,139
1445309521442721794,xixixixilian,"Mereka sudah stagnan. Mumpung masih ada waktu sebelum kualifikasi paris 2024, kenapa ga coba untuk bongkar pasang d… https://t.co/v9pnZ9lbNq",2022-06-10 14:35:39,2022-06-12 14:16:21,1445309521442721794,49,59
74895357,vit_dn,@detikcom Baru menang lawan kuwait wes diaku aku. Kmrn di seagames pas g dpt emas dan lawan bangladesh seri kok sty… https://t.co/8UtrHpYLt5,2022-06-10 10:46:20,2022-06-12 14:16:21,69183155,932,3369
219867622,fadlunrahman,"RT @FikTya_: @INABadminton APRI FADIA!!! 
Kalian keren sumpah 🔥🔥
Defense kalian nih bikin melongo, kek defen anak MD. 
Netting Fadia juga o…",2022-06-10 09:09:22,2022-06-12 14:16:21,,2560,1516
364908637,FikTya_,"@INABadminton APRI FADIA!!! 
Kalian keren sumpah 🔥🔥
Defense kalian nih bikin melongo, kek defen anak MD. 
Netting F… https://t.co/6wBn1GTO6p",2022-06-10 09:08:23,2022-06-12 14:16:21,1200006384,135,308
1450013359839928324,nanamint0n,"PriFad kerennnn bangettt. Kmrn debut lgsg gold seagames, terus lgsg SF S500. gokils!",2022-06-10 09:05:04,2022-06-12 14:16:21,,1222,90
219867622,fadlunrahman,RT @call_firman: @ainurohman kalaaahh terooooosss udh di seagames gagal disini ngablu,2022-06-10 07:46:05,2022-06-12 14:16:21,,2560,1516
